symbol
MSFT
AAPL
AMZN
FB
JPM
GOOG
GOOGL
JNJ
PG
XOM
V
T
HD
VZ
BAC
MA
DIS
INTC
CVX
MRK
CSCO
KO
UNH
CMCSA
BA
WFC
PFE
PEP
WMT
MCD
C
ABT
MDT
ADBE
CRM
IBM
COST
ACN
PYPL
HON
ORCL
TXN
PM
NKE
NFLX
TMO
AMGN
UNP
NEE
ABBV
UTX
AVGO
SBUX
NVDA
LIN
AMT
LMT
LLY
MMM
QCOM
DHR
LOW
UPS
BKNG
BMY
CVS
FIS
AXP
GILD
MDLZ
USB
GE
MO
CME
CB
CAT
CELG
ADP
DUK
SYK
INTU
BDX
TJX
GS
CHTR
D
SO
COP
CL
PNC
ISRG
ANTM
SPGI
ZTS
NOC
FISV
CCI
CI
BSX
CSX
AGN
TGT
RTN
MS
PLD
DD
DE
BLK
ICE
MMC
ECL
EQIX
KMB
SCHW
APD
AIG
SPG
GPN
NSC
MU
GM
SLB
EXC
LHX
AMAT
ITW
AEP
PSX
EW
AON
SHW
WM
PGR
BAX
ILMN
EL
VRTX
BIIB
EOG
GD
COF
WBA
ADI
DG
EMR
BBT
SYY
ATVI
ROST
SRE
MPC
KMI
OXY
AFL
TRV
BK
MET
ROP
WELL
PSA
PRU
F
ALL
DOW
VLO
ETN
JCI
FDX
STZ
YUM
HUM
MAR
XEL
MCO
LRCX
DAL
CTSH
GIS
ADSK
HCA
TWTR
AMD
ED
TEL
PEG
NEM
EBAY
ORLY
STI
OKE
EQR
AVB
WEC
IR
EA
WMB
VFC
APH
MSI
HPQ
PPG
ZBH
ES
IQV
SBAC
HLT
DLTR
EIX
TROW
VTR
INFO
DLR
AZO
LUV
PAYX
FE
TDG
DFS
VRSK
KLAC
CMI
TSN
MCK
TMUS
WLTW
FLT
BLL
DTE
XLNX
O
PCAR
A
ETR
IDXX
PH
LYB
HSY
ADM
PPL
MNST
CTAS
APTV
AWK
GLW
REGN
STT
CERN
MCHP
ALXN
HIG
SWK
CMG
ESS
MTB
PXD
CTVA
SYF
AME
KR
WY
SNPS
NTRS
FTV
VMC
FITB
HPE
VRSN
UAL
ROK
AEE
CLX
AMP
RMD
MKC
BXP
FAST
EXPE
ANSS
CDNS
RSG
RCL
CHD
MSCI
KEYS
CMS
KEY
CDW
CBRE
CNC
DHI
CINF
HCP
WDC
MTD
CCL
KHC
ARE
OMC
MLM
EFX
IP
AJG
LH
HAL
FRC
CPRT
LEN
K
BBY
RF
AMCR
CFG
MXIM
TFX
EVRG
HES
NUE
CE
CNP
HBAN
AKAM
WAT
CAG
EXR
PFG
ULTA
MAA
FANG
KMX
COO
GPC
DOV
MGM
DRI
BR
XYL
DGX
UDR
TTWO
CAH
FCX
SWKS
HAS
CXO
HOLX
SYMC
L
KSU
GWW
ATO
CBS
ALGN
INCY
IFF
WAB
WCG
ANET
CBOE
ABC
HST
STX
EXPD
IT
LNT
NVR
NTAP
SJM
JEC
MKTX
UHS
IEX
LNC
GRMN
MAS
DRE
CTXS
CTL
XRAY
HRL
AAP
LDOS
REG
CHRW
NDAQ
FMC
TXT
NCLH
JKHY
NI
FTNT
FOXA
PNW
CF
VAR
NBL
SIVB
TSCO
AES
TAP
ETFC
RE
AAL
LW
WYNN
RJF
ARNC
EMN
CMA
MYL
FTI
VNO
MRO
NRG
PKG
DVN
WU
TIF
WHR
LKQ
URI
GL
ALLE
AVY
JBHT
APA
HSIC
FRT
PKI
PHM
WRK
IRM
DISCK
QRVO
HII
SNA
KIM
BEN
VIAB
JNPR
HFC
FFIV
IPG
DISH
ZION
NOV
KSS
ALK
ABMD
CPB
DXC
AIV
AIZ
MHK
FBHS
PRGO
BWA
TPR
NLSN
ALB
COG
NWL
MOS
FLIR
SLG
IVZ
AOS
RHI
PVH
SEE
UNM
PNR
PBCT
FLS
XRX
HOG
HBI
DVA
PWR
LEG
ADS
NWSA
FOX
CPRI
RL
ROL
XEC
IPGP
M
HRB
HP
LB
AMG
DISCA
TRIP
GPS
UAA
JWN
UA
MAC
COTY
NKTR
NWS
FORD
TSLA
